当前排名,代码,股票名称,最新价,涨跌额,涨跌幅,date
1,SZ002031,巨轮智能,8.89,0.890778,10.02,2025-02-19
2,SZ300251,光线传媒,29.1,1.36188,4.68,2025-02-19
3,SZ300276,三丰智能,12.16,2.436864,20.04,2025-02-19
4,SZ300718,长盛轴承,98.77,19.754,20.0,2025-02-19
5,SZ002065,东华软件,12.47,1.242012,9.96,2025-02-19
6,SH603501,韦尔股份,157.96,15.796,10.0,2025-02-19
7,SZ002261,拓维信息,36.32,2.084768,5.74,2025-02-19
8,SZ300766,每日互动,69.38,12.342702,17.79,2025-02-19
9,SZ002123,梦网科技,19.42,0.955464,4.92,2025-02-19
10,SH600143,金发科技,11.24,1.121752,9.98,2025-02-19
11,SZ000818,航锦科技,39.05,3.905,10.0,2025-02-19
12,SZ300007,汉威科技,37.81,7.558219,19.99,2025-02-19
13,SH600580,卧龙电驱,28.61,2.162916,7.56,2025-02-19
14,SZ002599,盛通股份,10.09,1.012027,10.03,2025-02-19
15,SH600498,烽火通信,27.93,2.793,10.0,2025-02-19
16,SZ002896,中大力德,80.64,8.064,10.0,2025-02-19
17,SH600126,杭钢股份,10.51,-0.495021,-4.71,2025-02-19
18,SZ300100,双林股份,42.84,8.568000000000001,20.0,2025-02-19
19,SZ000876,新 希 望,10.44,1.045044,10.01,2025-02-19
20,SH601177,杭齿前进,16.42,1.6387160000000005,9.98,2025-02-19
21,SZ002369,卓翼科技,8.55,0.85842,10.04,2025-02-19
22,SH600986,浙文互联,10.66,0.2664999999999999,2.5,2025-02-19
23,SZ002527,新时达,13.52,1.353352,10.01,2025-02-19
24,SH603881,数据港,36.28,2.706488,7.46,2025-02-19
25,SZ002117,东港股份,13.86,1.386,10.0,2025-02-19
26,SZ000856,冀东装备,15.33,1.528401,9.97,2025-02-19
27,SH600105,永鼎股份,5.83,0.583,10.0,2025-02-19
28,SH600120,浙江东方,7.86,0.556488,7.08,2025-02-19
29,SH603583,捷昌驱动,40.45,4.049045,10.01,2025-02-19
30,SZ002681,奋达科技,9.15,0.484035,5.29,2025-02-19
31,SZ300059,东方财富,23.82,0.5002200000000001,2.1,2025-02-19
32,SZ002343,慈文传媒,7.07,0.7034649999999999,9.95,2025-02-19
33,SH601921,浙版传媒,8.77,0.880508,10.04,2025-02-19
34,SZ002276,万马股份,9.93,0.990021,9.97,2025-02-19
35,SZ002520,日发精机,8.16,0.443088,5.43,2025-02-19
36,SH600602,云赛智联,23.01,-0.218595,-0.95,2025-02-19
37,SZ301368,丰立智能,76.63,15.326,20.0,2025-02-19
38,SZ002929,润建股份,56.58,5.652342,9.99,2025-02-19
39,SZ002290,禾盛新材,21.87,2.189187,10.01,2025-02-19
40,SH600839,四川长虹,11.79,0.3289409999999999,2.79,2025-02-19
41,SZ300065,海兰信,13.56,2.712,20.0,2025-02-19
42,SZ002354,天娱数科,8.35,0.194555,2.33,2025-02-19
43,SH600678,四川金顶,8.72,0.8685120000000002,9.96,2025-02-19
44,SZ002979,雷赛智能,46.97,4.697,10.0,2025-02-19
45,SZ002593,日上集团,5.78,0.58378,10.1,2025-02-19
46,SZ002213,大为股份,18.4,1.83632,9.98,2025-02-19
47,SH600410,华胜天成,10.88,0.101184,0.93,2025-02-19
48,SH600590,泰豪科技,6.91,0.6930729999999999,10.03,2025-02-19
49,SH605488,福莱新材,51.93,5.193,10.0,2025-02-19
50,SZ300296,利亚德,7.3,0.78621,10.77,2025-02-19
51,SZ002050,三花智控,34.59,2.0338920000000003,5.88,2025-02-19
52,SZ300846,首都在线,27.33,2.642811,9.67,2025-02-19
53,SZ300660,江苏雷利,58.34,8.395126000000001,14.39,2025-02-19
54,SZ000710,贝瑞基因,12.67,1.264466,9.98,2025-02-19
55,SZ300638,广和通,41.2,5.94928,14.44,2025-02-19
56,SZ300571,平治信息,37.2,7.44,20.0,2025-02-19
57,SH601727,上海电气,8.42,0.236602,2.81,2025-02-19
58,SZ300488,恒锋工具,38.5,7.703850000000001,20.01,2025-02-19
59,SZ002044,美年健康,7.07,-0.019796,-0.28,2025-02-19
60,SZ300657,弘信电子,37.03,3.99924,10.8,2025-02-19
61,SZ002046,国机精工,15.13,1.519052,10.04,2025-02-19
62,SH603011,合锻智能,7.98,0.8035860000000001,10.07,2025-02-19
63,SZ300748,金力永磁,22.65,3.2729249999999994,14.45,2025-02-19
64,SH603528,多伦科技,9.67,0.967967,10.01,2025-02-19
65,SZ002600,领益智造,9.99,0.537462,5.38,2025-02-19
66,SZ300024,机器人,21.0,1.7682,8.42,2025-02-19
67,SZ300607,拓斯达,35.49,4.585308,12.92,2025-02-19
68,SZ000977,浪潮信息,64.57,1.4592819999999995,2.26,2025-02-19
69,SH603015,弘讯科技,13.39,1.341678,10.02,2025-02-19
70,SH603209,兴通股份,17.85,1.7814300000000003,9.98,2025-02-19
71,SZ002131,利欧股份,4.32,0.081648,1.89,2025-02-19
72,SZ002747,埃斯顿,22.3,1.46065,6.55,2025-02-19
73,SZ002886,沃特股份,21.05,2.10079,9.98,2025-02-19
74,SZ300124,汇川技术,72.56,6.341744,8.74,2025-02-19
75,SZ002922,伊戈尔,20.85,2.091255,10.03,2025-02-19
76,SZ000034,神州数码,57.2,0.50336,0.88,2025-02-19
77,SZ000793,华闻集团,2.94,0.297234,10.11,2025-02-19
78,SZ002965,祥鑫科技,54.34,5.434000000000001,10.0,2025-02-19
79,SZ002664,信质集团,19.28,1.9241440000000003,9.98,2025-02-19
80,SZ833533,骏创科技,62.2,18.65378,29.99,2025-02-19
81,SZ002870,香山股份,37.49,3.752749,10.01,2025-02-19
82,SZ920002,万达轴承,110.01,32.991999,29.99,2025-02-19
83,SZ002245,蔚蓝锂芯,13.65,1.090635,7.99,2025-02-19
84,SZ000065,北方国际,11.98,1.199198,10.01,2025-02-19
85,SZ000008,神州高铁,2.96,0.2971839999999999,10.04,2025-02-19
86,SZ002368,太极股份,30.5,3.04695,9.99,2025-02-19
87,SH603956,威派格,9.23,-0.918385,-9.95,2025-02-19
88,SH603300,海南华铁,9.07,0.278449,3.07,2025-02-19
89,SZ300458,全志科技,50.9,3.63426,7.14,2025-02-19
90,SH600353,旭光电子,8.17,0.8137320000000001,9.96,2025-02-19
91,SZ002126,银轮股份,26.68,2.673336,10.02,2025-02-19
92,SH600633,浙数文化,18.0,-0.8298000000000001,-4.61,2025-02-19
93,SZ300115,长盈精密,24.36,1.2399239999999998,5.09,2025-02-19
94,SH603005,晶方科技,36.29,3.022957,8.33,2025-02-19
95,SH601100,恒立液压,78.91,7.883108999999999,9.99,2025-02-19
96,SZ000516,国际医学,6.04,0.605208,10.02,2025-02-19
97,SZ300580,贝斯特,31.78,3.947076,12.42,2025-02-19
98,SH688347,华虹公司,60.28,10.826288000000002,17.96,2025-02-19
99,SZ002535,林州重机,4.28,0.4292839999999999,10.03,2025-02-19
100,SZ002611,东方精工,13.69,0.759795,5.55,2025-02-19
1,SZ002031,巨轮智能,9.16,0.278464,3.04,2025-02-20
2,SZ002065,东华软件,13.72,1.374744,10.02,2025-02-20
3,SZ300718,长盛轴承,107.0,8.9131,8.33,2025-02-20
4,SZ300251,光线传媒,27.38,-1.618158,-5.91,2025-02-20
5,SZ002261,拓维信息,37.96,1.7157919999999998,4.52,2025-02-20
6,SH600126,杭钢股份,11.15,0.6790349999999999,6.09,2025-02-20
7,SZ300276,三丰智能,14.59,2.915082,19.98,2025-02-20
8,SH600143,金发科技,12.36,1.2310560000000002,9.96,2025-02-20
9,SZ000818,航锦科技,42.96,4.300296,10.01,2025-02-20
10,SZ002426,胜利精密,3.61,0.363166,10.06,2025-02-20
11,SZ002369,卓翼科技,9.41,0.946646,10.06,2025-02-20
12,SH601727,上海电气,8.93,0.5411579999999999,6.06,2025-02-20
13,SZ300766,每日互动,61.51,-6.975234,-11.34,2025-02-20
14,SZ300622,博士眼镜,54.11,10.822,20.0,2025-02-20
15,SZ002044,美年健康,7.51,0.467122,6.22,2025-02-20
16,SZ002123,梦网科技,19.03,-0.382503,-2.01,2025-02-20
17,SZ300256,星星科技,5.1,1.02,20.0,2025-02-20
18,SH600580,卧龙电驱,27.9,-0.69192,-2.48,2025-02-20
19,SH603501,韦尔股份,152.99,-4.819185,-3.15,2025-02-20
20,SZ300007,汉威科技,44.5,7.872050000000001,17.69,2025-02-20
21,SZ002896,中大力德,88.7,8.87,10.0,2025-02-20
22,SZ002600,领益智造,10.6,0.64766,6.11,2025-02-20
23,SH601177,杭齿前进,18.06,1.804194,9.99,2025-02-20
24,SZ300738,奥飞数据,19.92,3.984,20.0,2025-02-20
25,SZ000856,冀东装备,16.86,1.682628,9.98,2025-02-20
26,SH600633,浙数文化,18.66,0.684822,3.67,2025-02-20
27,SZ002599,盛通股份,11.1,1.1111099999999998,10.01,2025-02-20
28,SZ002273,水晶光电,25.19,2.519,10.0,2025-02-20
29,SZ300868,杰美特,34.92,6.984000000000001,20.0,2025-02-20
30,SH603881,数据港,36.7,0.42572,1.16,2025-02-20
31,SZ002354,天娱数科,8.27,-0.0793919999999999,-0.96,2025-02-20
32,SZ002456,欧菲光,13.8,0.4761000000000001,3.45,2025-02-20
33,SZ300059,东方财富,23.57,-0.247485,-1.05,2025-02-20
34,SZ300115,长盈精密,26.5,2.3267,8.78,2025-02-20
35,SZ002343,慈文传媒,7.78,0.7811119999999999,10.04,2025-02-20
36,SZ300287,飞利信,8.28,0.6938639999999999,8.38,2025-02-20
37,SH600986,浙文互联,10.25,-0.394625,-3.85,2025-02-20
38,SZ002527,新时达,14.87,1.485513,9.99,2025-02-20
39,SH600120,浙江东方,7.86,0.0,0.0,2025-02-20
40,SZ002131,利欧股份,4.33,0.009959,0.23,2025-02-20
41,SH600839,四川长虹,11.6,-0.18676,-1.61,2025-02-20
42,SZ002681,奋达科技,9.17,0.0201739999999999,0.22,2025-02-20
43,SZ001314,亿道信息,56.65,5.665,10.0,2025-02-20
44,SH600678,四川金顶,9.59,0.957082,9.98,2025-02-20
45,SZ301101,明月镜片,55.63,11.126,20.0,2025-02-20
46,SZ002241,歌尔股份,29.59,1.088912,3.68,2025-02-20
47,SZ002929,润建股份,62.24,6.224,10.0,2025-02-20
48,SZ002173,创新医疗,10.88,0.7822720000000001,7.19,2025-02-20
49,SZ300019,硅宝科技,18.32,3.658504,19.97,2025-02-20
50,SZ002577,雷柏科技,26.87,2.6843130000000004,9.99,2025-02-20
51,SZ300100,双林股份,48.53,6.444783999999999,13.28,2025-02-20
52,SH600797,浙大网新,10.35,1.033965,9.99,2025-02-20
53,SH600498,烽火通信,27.49,-0.4343419999999999,-1.58,2025-02-20
54,SZ300458,全志科技,54.37,3.708034,6.82,2025-02-20
55,SZ002520,日发精机,8.24,0.080752,0.98,2025-02-20
56,SH605488,福莱新材,57.12,5.706288,9.99,2025-02-20
57,SZ000759,中百集团,8.69,0.6100379999999999,7.02,2025-02-20
58,SZ873001,纬达光电,24.75,7.422524999999999,29.99,2025-02-20
59,SZ000977,浪潮信息,63.36,-1.184832,-1.87,2025-02-20
60,SH601921,浙版传媒,9.65,0.967895,10.03,2025-02-20
61,SZ000516,国际医学,6.64,0.6593519999999999,9.93,2025-02-20
62,SZ301336,趣睡科技,69.96,13.991999999999996,20.0,2025-02-20
63,SZ002277,友阿股份,5.48,0.550192,10.04,2025-02-20
64,SH600602,云赛智联,22.07,-0.902663,-4.09,2025-02-20
65,SH603956,威派格,9.24,0.010164,0.11,2025-02-20
66,SZ000034,神州数码,56.03,-1.148615,-2.05,2025-02-20
67,SZ002861,瀛通通讯,16.15,1.616615,10.01,2025-02-20
68,SZ002522,浙江众成,4.98,0.494514,9.93,2025-02-20
69,SH600590,泰豪科技,7.6,0.7592399999999999,9.99,2025-02-20
70,SZ300296,利亚德,7.59,0.301323,3.97,2025-02-20
71,SZ300817,双飞集团,23.1,4.62,20.0,2025-02-20
72,SZ000810,创维数字,15.57,1.033848,6.64,2025-02-20
73,SZ002717,岭南股份,3.95,-0.21725,-5.5,2025-02-20
74,SH600410,华胜天成,10.58,-0.292008,-2.76,2025-02-20
75,SZ002414,高德红外,8.24,0.824824,10.01,2025-02-20
76,SZ002272,川润股份,10.97,1.100291,10.03,2025-02-20
77,SZ002524,光正眼科,4.57,0.4624839999999999,10.12,2025-02-20
78,SZ000158,常山北明,24.29,-0.5465249999999999,-2.25,2025-02-20
79,SZ000547,航天发展,7.79,0.781337,10.03,2025-02-20
80,SZ002594,比亚迪,362.78,4.317081999999999,1.19,2025-02-20
81,SZ002195,岩山科技,4.97,0.091448,1.84,2025-02-20
82,SZ002747,埃斯顿,23.4,1.15362,4.93,2025-02-20
83,SZ300660,江苏雷利,62.33,4.263372,6.84,2025-02-20
84,SH603215,比依股份,20.1,2.0140200000000004,10.02,2025-02-20
85,SZ920002,万达轴承,143.01,42.90299999999999,30.0,2025-02-20
86,SZ002400,省广集团,9.54,0.2251439999999999,2.36,2025-02-20
87,SZ002402,和而泰,20.72,1.205904,5.82,2025-02-20
88,SZ300543,朗科智能,14.06,2.807782,19.97,2025-02-20
89,SZ002987,京北方,21.44,2.146144,10.01,2025-02-20
90,SH603583,捷昌驱动,42.7,2.37412,5.56,2025-02-20
91,SZ002290,禾盛新材,24.06,2.408406,10.01,2025-02-20
92,SZ300968,格林精密,21.05,2.965945,14.09,2025-02-20
93,SZ300790,宇瞳光学,29.3,-0.39555,-1.35,2025-02-20
94,SZ002050,三花智控,34.03,-0.551286,-1.62,2025-02-20
95,SH603728,鸣志电器,82.49,4.916403999999999,5.96,2025-02-20
96,SH601127,赛力斯,122.96,3.56584,2.9,2025-02-20
97,SZ300846,首都在线,25.68,-1.551072,-6.04,2025-02-20
98,SH601933,永辉超市,5.39,0.1649339999999999,3.06,2025-02-20
99,SH600588,用友网络,17.74,0.5038159999999999,2.84,2025-02-20
100,SZ002122,汇洲智能,5.19,0.112623,2.17,2025-02-20
1,SZ002261,拓维信息,41.76,4.180176,10.01,2025-02-22
2,SH600126,杭钢股份,12.27,1.2319079999999998,10.04,2025-02-22
3,SZ002896,中大力德,97.57,9.757,10.0,2025-02-22
4,SZ002065,东华软件,13.95,0.2343599999999999,1.68,2025-02-22
5,SH603881,数据港,40.37,4.037,10.0,2025-02-22
6,SZ000938,紫光股份,32.42,3.245242,10.01,2025-02-22
7,SZ300738,奥飞数据,23.9,4.77522,19.98,2025-02-22
8,SH688256,寒武纪-U,742.21,148.442,20.0,2025-02-22
9,SZ300383,光环新网,20.77,4.151922999999999,19.99,2025-02-22
10,SH600050,中国联通,6.82,0.682,10.0,2025-02-22
11,SH600602,云赛智联,24.28,2.430428,10.01,2025-02-22
12,SZ002599,盛通股份,12.21,1.221,10.0,2025-02-22
13,SZ000977,浪潮信息,67.75,4.695075,6.93,2025-02-22
14,SH600143,金发科技,13.39,1.115387,8.33,2025-02-22
15,SZ000818,航锦科技,40.49,-2.3281750000000003,-5.75,2025-02-22
16,SZ300718,长盛轴承,108.1,1.11343,1.03,2025-02-22
17,SZ002929,润建股份,68.46,6.839154,9.99,2025-02-22
18,SZ300251,光线传媒,27.98,0.612762,2.19,2025-02-22
19,SZ002335,科华数据,47.4,4.74,10.0,2025-02-22
20,SZ300442,润泽科技,68.58,13.716,20.0,2025-02-22
21,SZ300068,南都电源,18.6,3.72,20.0,2025-02-22
22,SZ300059,东方财富,24.35,0.8059850000000001,3.31,2025-02-22
23,SZ300077,国民技术,28.25,5.652825,20.01,2025-02-22
24,SZ300660,江苏雷利,74.8,14.96748,20.01,2025-02-22
25,SZ002522,浙江众成,5.48,0.550192,10.04,2025-02-22
26,SZ000063,中兴通讯,43.41,3.9155819999999992,9.02,2025-02-22
27,SH603728,鸣志电器,90.74,9.074,10.0,2025-02-22
28,SH603019,中科曙光,76.95,4.1553,5.4,2025-02-22
29,SH601177,杭齿前进,19.87,1.990974,10.02,2025-02-22
30,SH603300,海南华铁,9.98,1.000994,10.03,2025-02-22
31,SZ002195,岩山科技,5.24,0.284532,5.43,2025-02-22
32,SH600839,四川长虹,12.18,0.609,5.0,2025-02-22
33,SH601727,上海电气,8.95,0.01969,0.22,2025-02-22
34,SZ002281,光迅科技,57.59,5.764759000000001,10.01,2025-02-22
35,SH600756,浪潮软件,18.99,1.902798,10.02,2025-02-22
36,SZ002031,巨轮智能,9.23,0.070148,0.76,2025-02-22
37,SH601728,中国电信,8.6,0.8574200000000001,9.97,2025-02-22
38,SH600100,同方股份,8.62,0.85769,9.95,2025-02-22
39,SZ002369,卓翼科技,10.35,1.033965,9.99,2025-02-22
40,SZ300017,网宿科技,15.6,2.54748,16.33,2025-02-22
41,SZ002527,新时达,16.36,1.639272,10.02,2025-02-22
42,SZ002347,泰尔股份,9.55,0.95691,10.02,2025-02-22
43,SZ300276,三丰智能,16.27,1.872677,11.51,2025-02-22
44,SZ300256,星星科技,5.51,0.4430039999999999,8.04,2025-02-22
45,SZ002272,川润股份,12.07,1.210621,10.03,2025-02-22
46,SZ002364,中恒电气,18.68,1.869868,10.01,2025-02-22
47,SH600797,浙大网新,10.61,0.2663109999999999,2.51,2025-02-22
48,SZ300657,弘信电子,40.43,5.652114,13.98,2025-02-22
49,SZ300245,天玑科技,17.9,3.5746299999999995,19.97,2025-02-22
50,SZ301165,锐捷网络,84.83,16.965999999999998,20.0,2025-02-22
51,SZ000887,中鼎股份,19.76,1.979952,10.02,2025-02-22
52,SZ002426,胜利精密,3.73,0.123836,3.32,2025-02-22
53,SZ300766,每日互动,60.48,-1.010016,-1.67,2025-02-22
54,SH603956,威派格,10.16,1.011936,9.96,2025-02-22
55,SH600522,中天科技,14.43,0.659451,4.57,2025-02-22
56,SZ002340,格林美,6.69,0.153201,2.29,2025-02-22
57,SH600580,卧龙电驱,28.17,0.273249,0.97,2025-02-22
58,SZ000032,深桑达Ａ,28.47,2.849847,10.01,2025-02-22
59,SZ300115,长盈精密,27.81,1.373814,4.94,2025-02-22
60,SZ300638,广和通,37.85,-3.74715,-9.9,2025-02-22
61,SZ002334,英威腾,9.53,0.957765,10.05,2025-02-22
62,SH600845,宝信软件,37.05,3.7087049999999993,10.01,2025-02-22
63,SZ002343,慈文传媒,8.56,0.8585679999999999,10.03,2025-02-22
64,SH603501,韦尔股份,157.98,5.150147999999999,3.26,2025-02-22
65,SZ002230,科大讯飞,55.6,2.0516400000000004,3.69,2025-02-22
66,SH688041,海光信息,156.96,23.983488,15.28,2025-02-22
67,SH600590,泰豪科技,8.36,0.836,10.0,2025-02-22
68,SZ002837,英维克,47.75,4.775,10.0,2025-02-22
69,SZ000815,美利云,12.47,1.242012,9.96,2025-02-22
70,SH600198,大唐电信,10.09,1.012027,10.03,2025-02-22
71,SZ002979,雷赛智能,53.86,5.391386,10.01,2025-02-22
72,SH601789,宁波建工,5.63,0.560748,9.96,2025-02-22
73,SH600835,上海机电,23.28,2.332656,10.02,2025-02-22
74,SZ300002,神州泰岳,15.88,1.656284,10.43,2025-02-22
75,SZ300153,科泰电源,28.9,5.78578,20.02,2025-02-22
76,SH601138,工业富联,23.2,0.59392,2.56,2025-02-22
77,SZ000034,神州数码,57.06,1.0499040000000002,1.84,2025-02-22
78,SH603887,城地香江,18.4,1.83632,9.98,2025-02-22
79,SZ000555,神州信息,13.75,1.375,10.0,2025-02-22
80,SZ002123,梦网科技,19.08,0.049608,0.26,2025-02-22
81,SZ002117,东港股份,14.33,0.35825,2.5,2025-02-22
82,SH600498,烽火通信,28.66,1.220916,4.26,2025-02-22
83,SH600589,大位科技,4.76,0.472668,9.93,2025-02-22
84,SZ002354,天娱数科,8.12,-0.146972,-1.81,2025-02-22
85,SH600633,浙数文化,19.18,0.535122,2.79,2025-02-22
86,SZ000016,深康佳Ａ,5.38,0.539076,10.02,2025-02-22
87,SZ002131,利欧股份,4.39,0.0610209999999999,1.39,2025-02-22
88,SZ002474,榕基软件,8.09,0.814663,10.07,2025-02-22
89,SZ300249,依米康,20.28,1.748136,8.62,2025-02-22
90,SZ000158,常山北明,24.97,0.69916,2.8,2025-02-22
91,SZ002518,科士达,29.26,2.926,10.0,2025-02-22
92,SZ300817,双飞集团,27.72,5.544,20.0,2025-02-22
93,SZ002600,领益智造,10.68,0.0801,0.75,2025-02-22
94,SZ301202,朗威股份,49.02,9.804,20.0,2025-02-22
95,SH600519,贵州茅台,1488.21,14.286815999999998,0.96,2025-02-22
96,SZ002594,比亚迪,383.0,21.3331,5.57,2025-02-22
97,SZ002126,银轮股份,30.25,3.025,10.0,2025-02-22
98,SH600986,浙文互联,9.99,-0.253746,-2.54,2025-02-22
99,SZ000967,盈峰环境,6.88,0.6935039999999999,10.08,2025-02-22
100,SZ002681,奋达科技,9.04,-0.1283679999999999,-1.42,2025-02-22
1,SZ002261,拓维信息,41.52,-0.2366639999999999,-0.57,2025-02-24
2,SZ000158,常山北明,27.47,2.749747,10.01,2025-02-24
3,SZ002085,万丰奥威,21.42,2.146284,10.02,2025-02-24
4,SZ000816,智慧农业,4.17,0.418251,10.03,2025-02-24
5,SH600602,云赛智联,26.71,2.673671,10.01,2025-02-24
6,SZ002065,东华软件,14.42,0.485954,3.37,2025-02-24
7,SH600126,杭钢股份,11.05,-1.09837,-9.94,2025-02-24
8,SH603881,数据港,42.49,2.230725,5.25,2025-02-24
9,SZ002031,巨轮智能,9.51,0.288153,3.03,2025-02-24
10,SH600100,同方股份,9.48,0.9461040000000002,9.98,2025-02-24
11,SH600839,四川长虹,12.74,0.58604,4.6,2025-02-24
12,SH600797,浙大网新,11.67,1.165833,9.99,2025-02-24
13,SH688256,寒武纪-U,780.36,40.110504,5.14,2025-02-24
14,SZ002131,利欧股份,4.57,0.1873699999999999,4.1,2025-02-24
15,SZ300251,光线传媒,27.09,-0.8614620000000001,-3.18,2025-02-24
16,SZ002335,科华数据,52.14,5.214,10.0,2025-02-24
17,SZ002599,盛通股份,13.43,1.341657,9.99,2025-02-24
18,SZ300766,每日互动,51.4,-7.71514,-15.01,2025-02-24
19,SZ000818,航锦科技,36.44,-3.644,-10.0,2025-02-24
20,SZ002369,卓翼科技,11.39,1.144695,10.05,2025-02-24
21,SZ000032,深桑达Ａ,31.32,3.135132,10.01,2025-02-24
22,SH603662,柯力传感,86.35,8.635,10.0,2025-02-24
23,SZ002527,新时达,18.0,1.8036,10.02,2025-02-24
24,SH600811,东方集团,2.31,0.231,10.0,2025-02-24
25,SZ300059,东方财富,24.12,-0.2267279999999999,-0.94,2025-02-24
